Study,T,N,R
Batagello,IV TXA,95,40
Batagello,Control,97,25
Kumar,IV TXA,100,91
Kumar,Control,100,82
Rashid,IV TXA,25,25
Rashid,Control,25,24
Choudry,IV TXA,80,64
Choudry,Irrigation TXA,80,71
Iskakov,IV TXA,82,61
Iskakov,Control,82,57
