Study,T,N,R
Batagello,IV,95,3
Batagello,Control,97,6
Bansal,Irrigation,200,29
Bansal,Control,200,42
Choudry,IV,80,2
Choudry,Irrigation,80,2
Iskakov,IV,82,0
Iskakov,Control,82,5
