Study,T,Mean,SD,N
Mohammadi A,IV,298,95.3,30
Mohammadi A,Control ,500,121.32,30
Mohammadi B,IV,584.3,154.51,30
Mohammadi B,Control ,675,104.3,30
Sichani,IV,751.4,523.4,64
Sichani,Control ,826.5,525.6,66
Bansal and Aurora,Irrigation,154.55,47.23,200
Bansal and Aurora,Control ,212.61,67.97,200
Rashid,IV,73.8,60.1,25
Rashid,Control ,117.24,87.9,25
