Study,T,N,R
Batagello,IV,95,11
Batagello,Control,97,15
Bansal,Irrigation,200,76
Bansal,Control,200,102
Choudry,IV,80,27
Choudry,Irrigation,80,19
Iskakov,IV,82,22
Iskakov,Control,82,42
