Study,T,Mean,SD,N
Mokhtari,IV,2.88,0.63,54
Mokhtari,Control,3.46,0.81,54
Mohammadi A,IV,4.21,0.64,30
Mohammadi A,Control,3.6,0.4,30
Mohammadi B,IV,4.33,0.6,30
Mohammadi B,Control,4.5,0.62,30
Sichani,IV,2.4,0.6,64
Sichani,Control,2.7,0.6,66
Kumar,IV,2.74,1.06,100
Kumar,Control,4.67,3.08,100
Bansal,Irrigation,2.13,0.87,200
Bansal,Control,3.39,1.42,200
Choudhury,IV,3.6,0.7,80
Choudhury,Irrigation,3.5,0.6,80
Iskakov,IV,9.14,0.3,82
Iskakov,Control,10.08,0.5,82
